identifier,labels,text,en,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH
TeacherMultigradeLevels,teacher_survey_classroom,2nd Grade,2nd Grade,Segundo grado,2. Klasse,2ème année,2e leerjaar,2. Klasse,Segundo grado,2nd Grade
TeacherMultigradeLevels,teacher_survey_classroom,3rd Grade,3rd Grade,Tercer grado,3. Klasse,3ème année,3e leerjaar,3. Klasse,Tercer grado,3rd Grade
TeacherMultigradeLevels,teacher_survey_classroom,4th Grade,4th Grade,Cuarto grado,4. Klasse,4ème année,4e leerjaar,4. Klasse,Cuarto grado,4th Grade
TeacherMultigradeLevels,teacher_survey_classroom,5th Grade,5th Grade,Quinto grado,5. Klasse,5ème année,5e leerjaar,5. Klasse,Quinto grado,5th Grade
TeacherMultigradeLevels,teacher_survey_classroom,6th Grade,6th Grade,Sexto grado,6. Klasse,6ème année,6e leerjaar,6. Klasse,Sexto grado,6th Grade
TeacherMultigradeLevels,teacher_survey_classroom,7th Grade,7th Grade,Séptimo grado,7. Klasse,7ème année,7e leerjaar,7. Klasse,Séptimo grado,7th Grade
TeacherMultigradeLevels,teacher_survey_classroom,8th Grade,8th Grade,Octavo grado,8. Klasse,8ème année,8e leerjaar,8. Klasse,Octavo grado,8th Grade
TeacherGradeLevel,teacher_survey_classroom,What grade level do you teach?,What grade level do you teach?,¿En qué grado enseña?,Welche Klassenstufe unterrichten Sie?,Quel niveau scolaire enseignez-vous ?,In welk leerjaar geeft u les?,Welche Klassenstufe unterrichten Sie?,¿En qué grado enseña?,Which grade level you dey teach?
TeacherLanguageStudents,teacher_survey_classroom,What languages are spoken by students in this class (select all that apply)?,What languages are spoken by students in this class (select all that apply)?,¿Qué idiomas hablan los(as) estudiantes en este salón de clase?,"Welche Sprachen sprechen die Schüler in dieser Klasse (Wählen Sie alle, die zutreffen)?",Quelles langues sont parlées par les élèves de cette classe (sélectionnez tout ce qui s'applique) ?,Welke talen worden er in deze klas door de studenten gesproken (selecteer alles wat van toepassing is)?,"Welche Sprachen sprechen die Schüler in dieser Klasse (Wählen Sie alle, die zutreffen)?",¿Qué idiomas hablan los(as) estudiantes en este salón de clase?,Which languages dey speak by students in this class (select all wey fit)?
TeacherLanguageStudents,teacher_survey_classroom,Arabic,Arabic,Árabe,Arabisch,Arabe,Arabisch,Arabisch,Árabe,Arabic
TeacherLanguageStudents,teacher_survey_classroom,Chinese,Chinese,Chino,Chinesisch,Chinois,Chinees,Chinesisch,Chino,Chinese
TeacherLanguageStudents,teacher_survey_classroom,English,English,Inglés,Englisch,Anglais,Engels,Englisch,Inglés,English
TeacherLanguageStudents,teacher_survey_classroom,French,French,Francés,Französisch,Français,Frans,Französisch,Francés,French
TeacherLanguageStudents,teacher_survey_classroom,German,German,Alemán,Deutsch,Allemand,Duits,Deutsch,Alemán,German
TeacherLanguageStudents,teacher_survey_classroom,Korean,Korean,Coreano,Koreanisch,Coréen,Koreaans,Koreanisch,Coreano,Korean
TeacherLanguageStudents,teacher_survey_classroom,Spanish,Spanish,Español,Spanisch,Espagnol,Spaans,Spanisch,Español,Spanish
TeacherLanguageStudents,teacher_survey_classroom,Tagalog,Tagalog,Tagalo,Tagalog,Tagalog,Tagalog,Tagalog,Tagalo,Tagalog
TeacherLanguageStudents,teacher_survey_classroom,Vietnamese,Vietnamese,Vietnamita,Vietnamesisch,Vietnamien,Vietnamees,Vietnamesisch,Vietnamita,Vietnamese
TeacherLanguageTeachers,teacher_survey_classroom,What languages do you or your assistant teacher speak <b>in the classroom</b> (select all that apply)?,What languages do you or your assistant teacher speak <b>in the classroom</b> (select all that apply)?,¿Qué idiomas hablan usted o su docente asistente <b>en el aula de clase?</b>,"Welche Sprachen sprechen Sie oder Ihr Assistenzlehrer <b>im Unterricht</b> (Wählen Sie alle, die zutreffen)?",Quelles langues parlez-vous ou votre professeur assistant <b>en classe</b> (sélectionnez tout ce qui s'applique) ?,Welke talen spreken u of uw assistent-docent <b>in de klas</b> (selecteer alles wat van toepassing is)?,"Welche Sprachen sprechen Sie oder Ihr Assistenzlehrer <b>im Unterricht</b> (Wählen Sie alle, die zutreffen)?",¿Qué idiomas hablan usted o su docente asistente <b>en el aula de clase?</b>,Which languages you or your assistant teacher dey speak <b>for the classroom</b> (select all wey fit)?
TeacherReadingBelow,teacher_survey_classroom,About how many children in this classroom are BELOW grade level in their reading skills?,About how many children in this classroom are BELOW grade level in their reading skills?,¿Cuántos niños(as) de este salón tienen un nivel de lectura POR DEBAJO del grado que cursan?,"Wie viele Kinder in dieser Klasse haben ein Lesetempo, das UNTER dem Klassenniveau liegt?",Environ combien d'enfants dans cette classe sont en DESSOUS du niveau scolaire en ce qui concerne leurs compétences en lecture ?,Hoeveel kinderen in deze klas hebben een leesniveau ONDER hun leerjaar?,"Wie viele Kinder in dieser Klasse haben ein Lesetempo, das UNTER dem Klassenniveau liegt?",¿Cuántos niños(as) de este salón tienen un nivel de lectura POR DEBAJO del grado que cursan?,Make I know about how many children for this class dey BELOW grade level for their reading skills?
TeacherReadingBelow,teacher_survey_classroom,number of children,number of children,Número de niños(as),Anzahl der Kinder,nombre d'enfants,aantal kinderen,Anzahl der Kinder,Número de niños(as),number of children
TeacherReadingAbove,teacher_survey_classroom,About how many children in this classroom are ABOVE grade level in their reading skills?,About how many children in this classroom are ABOVE grade level in their reading skills?,¿Cuántos niños(as) de este salón tienen un nivel de lectura POR ENCIMA del grado que cursan?,"Wie viele Kinder in dieser Klasse haben ein Lesetempo, das ÜBER dem Klassenniveau liegt?",Environ combien d'enfants dans cette classe sont AU-DESSUS du niveau scolaire en ce qui concerne leurs compétences en lecture ?,Hoeveel kinderen in deze klas hebben een leesniveau BOVEN hun leerjaar?,"Wie viele Kinder in dieser Klasse haben ein Lesetempo, das ÜBER dem Klassenniveau liegt?",¿Cuántos niños(as) de este salón tienen un nivel de lectura POR ENCIMA del grado que cursan?,Make I know about how many children for this class dey ABOVE grade level for their reading skills?
TeacherReadingAbove,teacher_survey_classroom,number of children,number of children,Número de niños(as),Anzahl der Kinder,nombre d'enfants,aantal kinderen,Anzahl der Kinder,Número de niños(as),number of children
TeacherMathBelow,teacher_survey_classroom,About how many children in this classroom are BELOW grade level in their math skills?,About how many children in this classroom are BELOW grade level in their math skills?,¿Cuántos niños(as) de este salón tienen un nivel en matemáticas POR DEBAJO del grado que cursan?,"Wie viele Kinder in dieser Klasse haben ein Mathematikniveau, das UNTER dem Klassenniveau liegt?",Environ combien d'enfants dans cette classe sont en DESSOUS du niveau scolaire en ce qui concerne leurs compétences en mathématiques ?,Hoeveel kinderen in deze klas hebben een wiskundeniveau ONDER hun leerjaar?,"Wie viele Kinder in dieser Klasse haben ein Mathematikniveau, das UNTER dem Klassenniveau liegt?",¿Cuántos niños(as) de este salón tienen un nivel en matemáticas POR DEBAJO del grado que cursan?,Make I know about how many children for this class dey BELOW grade level for their math skills?
TeacherMathBelow,teacher_survey_classroom,number of children,number of children,Número de niños(as),Anzahl der Kinder,nombre d'enfants,aantal kinderen,Anzahl der Kinder,Número de niños(as),number of children
TeacherMathAbove,teacher_survey_classroom,About how many children in this classroom are ABOVE grade level in their math skills?,About how many children in this classroom are ABOVE grade level in their math skills?,¿Cuántos niños(as) de este salón tienen un nivel en matemáticas POR ENCIMA del grado que cursan?,"Wie viele Kinder in dieser Klasse haben ein Mathematikniveau, das ÜBER dem Klassenniveau liegt?",Environ combien d'enfants dans cette classe sont AU-DESSUS du niveau scolaire en ce qui concerne leurs compétences en mathématiques ?,Hoeveel kinderen in deze klas hebben een wiskundeniveau BOVEN hun leerjaar?,"Wie viele Kinder in dieser Klasse haben ein Mathematikniveau, das ÜBER dem Klassenniveau liegt?",¿Cuántos niños(as) de este salón tienen un nivel en matemáticas POR ENCIMA del grado que cursan?,Make I know about how many children for this class dey ABOVE grade level for their math skills?
TeacherMathAbove,teacher_survey_classroom,number of children,number of children,Número de niños(as),Anzahl der Kinder,nombre d'enfants,aantal kinderen,Anzahl der Kinder,Número de niños(as),number of children
TeacherReadingFrequency,teacher_survey_classroom,"How often each week do children in this class usually work on lessons or projects in Reading and Language Arts, whether as a whole class, in small groups, or in individualized arrangements ?","How often each week do children in this class usually work on lessons or projects in Reading and Language Arts, whether as a whole class, in small groups, or in individualized arrangements ?","¿Cuántas veces por semana suelen trabajar los estudiantes de esta clase en lecciones o proyectos de lectura, lenguaje y literatura, ya sea en sesión plenaria, grupos pequeños o individualmente?","Wie oft pro Woche arbeiten die Kinder in dieser Klasse normalerweise an Lese- und Sprachprojekten, sei es in der gesamten Klasse, in kleinen Gruppen oder in individueller Arbeit?","Combien de fois par semaine les enfants de cette classe travaillent-ils habituellement sur des leçons ou des projets en lecture et langage, que ce soit en classe entière, en petits groupes ou en arrangements individualisés ?","Hoe vaak per week werken kinderen in deze klas meestal aan lessen of projecten voor Lezen en Taalvakken, hetzij klassikaal, in kleine groepen, of individueel?","Wie oft pro Woche arbeiten die Kinder in dieser Klasse normalerweise an Lese- und Sprachprojekten, sei es in der gesamten Klasse, in kleinen Gruppen oder in individueller Arbeit?","¿Cuántas veces por semana suelen trabajar los estudiantes de esta clase en lecciones o proyectos de lectura, lenguaje y literatura, ya sea en sesión plenaria, grupos pequeños o individualmente?","How many times per week usually children for this class dey work on lessons or projects in Reading and Language Arts, whether as whole class, in small groups or in individualized arrangements?"
TeacherReadingFrequency,teacher_survey_classroom,,,,,,,,,
TeacherReadingFrequency,teacher_survey_classroom,Less than once per week,Less than once per week,Menos de una vez por semana,Weniger als einmal pro Woche,Moins d'une fois par semaine,Minder dan één keer per week,Weniger als einmal pro Woche,Menos de una vez por semana,Less than once per week
TeacherReadingFrequency,teacher_survey_classroom,1 -2 times per week,1 -2 times per week,1 a 2 veces por semana,1 - 2 Mal pro Woche,1 - 2 fois par semaine,1-2 keer per week,1 - 2 Mal pro Woche,1 a 2 veces por semana,1 -2 times per week
TeacherReadingFrequency,teacher_survey_classroom,3 - 4 times per week,3 - 4 times per week,3 a 4 veces por semana,3 - 4 Mal pro Woche,3 - 4 fois par semaine,3-4 keer per week,3 - 4 Mal pro Woche,3 a 4 veces por semana,3 - 4 times per week
TeacherReadingFrequency,teacher_survey_classroom,,,,,,,,,
TeacherReadingTime,teacher_survey_classroom,"How much time per day do children in this class usually work on lessons or projects in Reading and Language Arts, whether as a whole class, in small groups, or in individualized arrangements?","How much time per day do children in this class usually work on lessons or projects in Reading and Language Arts, whether as a whole class, in small groups, or in individualized arrangements?","¿Cuánto tiempo diario dedican trabajar los estudiantes de esta clase en lecciones o proyectos de lectura, lenguaje y literatura, ya sea en sesión plenaria, grupos pequeños o individualmente?","Wie viel Zeit pro Tag verbringen die Kinder in dieser Klasse normalerweise damit, an Lese- und Sprachprojekten zu arbeiten, sei es in der gesamten Klasse, in kleinen Gruppen oder in individueller Arbeit?","Combien de temps par jour les enfants de cette classe travaillent-ils habituellement sur des leçons ou des projets en lecture et langage, que ce soit en classe entière, en petits groupes ou en arrangements individualisés ?","Hoeveel tijd per dag werken kinderen in deze klas meestal aan lessen of projecten voor Lezen en Taalvakken, hetzij klassikaal, in kleine groepen, of individueel?","Wie viel Zeit pro Tag verbringen die Kinder in dieser Klasse normalerweise damit, an Lese- und Sprachprojekten zu arbeiten, sei es in der gesamten Klasse, in kleinen Gruppen oder in individueller Arbeit?","¿Cuánto tiempo diario dedican trabajar los estudiantes de esta clase en lecciones o proyectos de lectura, lenguaje y literatura, ya sea en sesión plenaria, grupos pequeños o individualmente?","How much time each day children for this class dey usually work on lessons or projects in Reading and Language Arts, whether as whole class, in small groups, or in individualized arrangements?"
